Date,Region (CCAA),Positive total (Total casos),IA (casos/100.000 habitantes),Hospitalized (hospitalización),ICU (Ingreso en UCI),Dead (Fallecidos),Cured (Curados),New positive (Nuevos),Source
2020-02-17,SPAIN,2,,,,,,,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_24_COVID-19_China.pdf
2020-02-18,SPAIN,2,,,,,,,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_25_COVID-19_China.pdf
2020-02-19,SPAIN,2,,,,,,,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_26_COVID-19_China.pdf
2020-02-20,SPAIN,2,,,,,,,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_27_COVID-19_China.pdf
2020-02-21,SPAIN,2,,,,,,,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_28_COVID-19_China.pdf
2020-02-24,SPAIN,2,,,,,,,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_29_COVID-19_China.pdf
2020-02-25,SPAIN,3,,,,,,,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_30_COVID-19_China.pdf
2020-02-26,SPAIN,10,,,,,,,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_31_COVID-19.pdf
2020-02-27,SPAIN,16,,,,,,,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_32_COVID-19.pdf
2020-02-28,SPAIN,32,,,,,,,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_33_COVID-19.pdf
2020-03-02,SPAIN,114,,,,,,,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_34_COVID-19.pdf
2020-03-03,SPAIN,150,,,,,,,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_35_COVID-19.pdf
2020-03-04,Andalucía,13,0.15,,1,,,,
2020-03-04,Aragón,0,0,,,,,,
2020-03-04,Asturias,2,0.2,,1,,,,
2020-03-04,Baleares,5,0.43,,,,,,
2020-03-04,Canarias,7,0.33,,,,,,
2020-03-04,Cantabria,10,1.72,,,,,,
2020-03-04,Castilla La Mancha,12,0.59,,1,,,,
2020-03-04,Castilla y León,11,0.46,,1,,,,
2020-03-04,Cataluña,15,0.2,,,,,,
2020-03-04,Ceuta,0,0,,,,,,
2020-03-04,C. Valenciana,19,0.38,,,1,,,
2020-03-04,Extremadura,6,0.56,,,,,,
2020-03-04,Galicia,1,0.04,,,,,,
2020-03-04,Madrid,70,1.05,,2,,,,
2020-03-04,Melilla,0,0,,,,,,
2020-03-04,Murcia,0,0,,,,,,
2020-03-04,Navarra,3,0.46,,1,,,,
2020-03-04,País Vasco,17,0.77,,,,,,
2020-03-04,La Rioja,7,2.21,,,,,,
2020-03-04,SPAIN,198,0.42,,7,1,,,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_36_COVID-19.pdf
2020-03-05,Andalucía,12,0.14,,1,0,,,
2020-03-05,Aragón,1,0.08,,1,0,,,
2020-03-05,Asturias,5,0.49,,2,0,,,
2020-03-05,Baleares,6,0.52,,0,0,,,
2020-03-05,Canarias,8,0.37,,0,0,,,
2020-03-05,Cantabria,10,1.72,,0,0,,,
2020-03-05,Castilla La Mancha,13,0.64,,1,0,,,
2020-03-05,Castilla y León,11,0.46,,1,0,,,
2020-03-05,Cataluña,24,0.31,,0,0,,,
2020-03-05,Ceuta,0,0,,0,0,,,
2020-03-05,C. Valenciana,19,0.38,,0,1,,,
2020-03-05,Extremadura,6,0.56,,0,0,,,
2020-03-05,Galicia,1,0.04,,0,0,,,
2020-03-05,Madrid,90,1.35,,2,1,,,
2020-03-05,Melilla,0,0,,0,0,,,
2020-03-05,Murcia,0,0,,0,0,,,
2020-03-05,Navarra,3,0.46,,1,0,,,
2020-03-05,País Vasco,17,0.77,,0,1,,,
2020-03-05,La Rioja,11,3.47,,0,0,,,
2020-03-05,SPAIN,237,0.51,,9,3,,,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_37_COVID-19.pdf
2020-03-06,Andalucía,21,0.25,,1,0,,,
2020-03-06,Aragón,6,0.45,,1,1,,,
2020-03-06,Asturias,5,0.49,,2,0,,,
2020-03-06,Baleares,6,0.52,,0,0,,,
2020-03-06,Canarias,11,0.51,,0,0,,,
2020-03-06,Cantabria,10,1.72,,0,0,,,
2020-03-06,Castilla La Mancha,15,0.74,,1,0,,,
2020-03-06,Castilla y León,14,0.58,,1,0,,,
2020-03-06,Cataluña,24,0.31,,0,0,,,
2020-03-06,Ceuta,0,0,,0,0,,,
2020-03-06,C. Valenciana,30,0.6,,1,1,,,
2020-03-06,Extremadura,6,0.56,,0,0,,,
2020-03-06,Galicia,3,0.11,,0,0,,,
2020-03-06,Madrid,137,2.06,,2,2,,,
2020-03-06,Melilla,0,0,,0,0,,,
2020-03-06,Murcia,0,0,,0,0,,,
2020-03-06,Navarra,3,0.46,,1,0,,,
2020-03-06,País Vasco,45,2.04,,1,1,,,
2020-03-06,La Rioja,29,9.15,,0,0,,,
2020-03-06,SPAIN,365,0.78,,11,5,,,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_38_COVID-19.pdf
2020-03-09,Andalucía,54,0.64,,1,0,,,
2020-03-09,Aragón,13,0.99,,1,1,,,
2020-03-09,Asturias,7,0.68,,2,0,,,
2020-03-09,Baleares,11,0.96,,0,0,,,
2020-03-09,Canarias,22,1.02,,0,0,,,
2020-03-09,Cantabria,12,2.07,,0,0,,,
2020-03-09,Castilla La Mancha,26,1.28,,2,0,,,
2020-03-09,Castilla y León,23,0.96,,1,0,,,
2020-03-09,Cataluña,75,0.98,,0,1,,,
2020-03-09,Ceuta,0,0,,0,0,,,
2020-03-09,C. Valenciana,37,0.74,,1,1,,,
2020-03-09,Extremadura,7,0.66,,0,0,,,
2020-03-09,Galicia,6,0.22,,0,0,,,
2020-03-09,Madrid,469,7.04,,53,8,,,
2020-03-09,Melilla,0,0,,0,0,,,
2020-03-09,Murcia,4,0.27,,0,0,,,
2020-03-09,Navarra,3,0.46,,1,0,,,
2020-03-09,País Vasco,149,6.75,,5,5,,,
2020-03-09,La Rioja,81,25.57,,1,0,,,
2020-03-09,SPAIN,999,2.14,,68,16,,,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov-China/documentos/Actualizacion_39_COVID-19.pdf
2020-03-10,Andalucía,71,0.84,,1,0,,,
2020-03-10,Aragón,38,2.88,,3,3,,,
2020-03-10,Asturias,22,2.15,,2,0,,,
2020-03-10,Baleares,13,1.13,,1,0,,,
2020-03-10,Canarias,25,1.16,,1,0,,,
2020-03-10,Cantabria,12,2.07,,0,0,,,
2020-03-10,Castilla La Mancha,39,1.92,,2,0,,,
2020-03-10,Castilla y León,56,2.33,,2,0,,,
2020-03-10,Cataluña,124,1.62,,0,3,,,
2020-03-10,Ceuta,0,0,,0,0,,,
